"time","new.core.id","depth_bottom","sample.type","interval","pool_label","id","species","d15n","n_pct","d13c","c_pct","total_volume_cm3","depth_top","sample.type2","g_core"
"t2","DS02",NA,"standing dead","above","standing dead","DS02-standing dead","DS",18.08640407,0.009389159,-15.48216683,0.369328309,NA,NA,"standing dead",2.818
"t2","DS02",NA,"stems","above","stems","DS02-stems","DS",3372.732831,0.01043932,-15.61144145,0.372568022,NA,NA,"stems",1.6151
"t0","DS14",2,"belowground stems","0_2","belowground stems","DS14-belowground stems","DS",NA,NA,NA,NA,157.08,0,"stems",0.0697
"t2","DS02",2,"belowground stems","0_2","belowground stems","DS02-belowground stems","DS",1250.147274,0.00999,-15.01416043,0.375261717,157.08,0,"stems",0.0697
"t0","DS14",2,"coarse roots","0_2","coarse roots 2cm","DS14-coarse roots 2cm","DS",4.283225873,0.01235,-14.95970452,0.384196385,157.08,0,"coarse roots",0.0096
"t0","DS14",2,"dead biomass","0_2","dead biomass 2cm","DS14-dead biomass 2cm","DS",4.784855563,0.01449,-14.64380151,0.394758419,157.08,0,"dead biomass",1.418
"t2","DS02",2,"dead biomass","0_2","dead biomass 2cm","DS02-dead biomass 2cm","DS",362.4789262,0.010245102,-14.63034857,0.353863137,157.08,0,"dead biomass",4.582
"t0","DS14",2,"fine roots","0_2","fine roots 2cm","DS14-fine roots 2cm","DS",3.530600755,0.00857,-13.39309148,0.421625695,157.08,0,"fine roots",0.0116
"t2","DS02",2,"fine roots","0_2","fine roots 2cm","DS02-fine roots 2cm","DS",4722.397452,0.010152606,-14.83588778,0.329186843,157.08,0,"fine roots",0.0372
"t2","DS02",2,"rhizomes","0_2","rhizomes 2cm","DS02-rhizomes 2cm","DS",3327.831407,0.01287,-15.11031831,0.407648904,157.08,0,"rhizomes",1.2228
"t0","DS14",5,"coarse roots","2_5","coarse roots 5cm","DS14-coarse roots 5cm","DS",3.964466711,0.00918,-14.64717785,0.365262449,235.619,2,"coarse roots",0.2956
